COUNTRY,amount,year,UNIT_TYPE_DESCR
PT,385302913,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
NL,684420735,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
ES,636945988,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
PL,421376164,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
SK,225401552,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
SI,68757191,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
SE,393966092,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
NO,260638538,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
HU,287868793,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
LT,392847397,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
LV,257747967,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
EE,364922789,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
